t,message
-1783872925.232,"1615.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783872924.232,"1616.586:v13 REJECT(candidate) reason=shortWindowRise rise=0.21"
-1783872923.236,"1617.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.16"
-1783872922.236,"1618.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783872921.235,"1619.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.08"
-1783872920.235,"1620.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.06"
-1783872919.234,"1621.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783872917.233,"1623.591:v13 REJECT(candidate) reason=shortWindowRise rise=0.13"
-1783872916.232,"1624.575:v13 REJECT(candidate) reason=shortWindowRise rise=0.11"
-1783872915.232,"1625.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783872914.236,"1626.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783872913.236,"1627.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783872912.235,"1628.586:v13 REJECT(candidate) reason=shortWindowRise rise=-0.09"
-1783872911.235,"1629.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.13"
-1783872910.234,"1630.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.22"
-1783872909.234,"1631.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.27"
-1783872908.233,"1632.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.14"
-1783872907.232,"1633.588:v13 REJECT(candidate) reason=shortWindowRise rise=0.14"
-1783872906.232,"1634.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.15"
-1783872905.236,"1635.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.07"
-1783872904.236,"1636.585:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783872903.235,"1637.586:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783872902.235,"1638.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783872900.234,"1640.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.11"
-1783872899.233,"1641.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.09"
-1783872898.233,"1642.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783872897.232,"1643.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.11"
-1783872896.231,"1644.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.16"
-1783872895.236,"1645.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.14"
-1783872894.235,"1646.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.10"
-1783872893.235,"1647.595:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783872892.234,"1648.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783872891.234,"1649.584:v13 REJECT(candidate) reason=shortWindowRise rise=-0.09"
-1783872890.233,"1650.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.10"
